COUNTY,AVLN_EALT,CWAV_EALT,DRGT_EALT,HAIL_EALT,ISTM_EALT,LNDS_EALT,LTNG_EALT,RFLD_EALT,SWND_EALT,TRND_EALT,WFIR_EALT,WNTW_EALT
Ouray,267949.1964,0.001862562,11519.11462,1735.047976,3088.518883,352143.8995,20623.31492,159346.6161,2297.268466,6766.944164,171483.0447,5871.818542
Park,191715.7433,17398.92077,12516.12228,282528.4091,15177.09281,187899.0818,248063.0668,37317.46664,121063.0007,186352.2763,1919769.145,13359.68202
Phillips,0,112662.3306,69929.66135,595355.3061,15123.48044,1630.5419,15348.69006,21176.4247,243609.1078,270535.1825,41.72254186,43841.34607
Pitkin,1539219.778,0,7199.596067,11768.03968,12845.16019,429011.8832,131469.3759,96041.14336,4529.621967,17166.26024,111302.8365,3986.631447
Prowers,0,186593.9915,1875466.146,388269.8469,2428.95479,224.9203789,105833.5609,187929.9213,123793.8811,302278.1954,31802.42381,44214.10627
Pueblo,0,338412.133,302278.4028,3569429.108,66269.44086,40343.75631,125475.4081,3178910.276,149352.8826,1323779.609,649383.8731,8872.631558
Rio Blanco,30784.19729,19859.01572,114336.4226,6072.303647,3600.729889,50742.7653,52229.43477,179509.4815,6473.842624,3115.099908,342428.9547,1773.616062
Rio Grande,207859.3129,116129.1687,444846.166,15330.27637,1403.792298,25221.40031,10175.70412,282530.5157,4529.825106,22174.4349,17219.6318,2602.774557
Routt,192861.9508,4726.592638,68627.41222,2281.956273,19754.183,25986.2604,153427.9076,246514.628,18243.3123,14249.7781,303868.9535,1425.274579
Saguache,301962.8318,86851.08918,379594.1807,25067.96524,2618.482705,4671.992043,20237.85687,5080.095336,3084.591856,10261.28705,16754.74841,2107.800722
San Juan,305448.7288,0,0,373.3219935,527.336172,2027021.034,2039.995609,2429.092357,546.1277424,1343.058547,24379.18977,2276.281046
San Miguel,825587.462,0,19911.39861,3274.460477,5843.120409,2500447.372,30095.20311,272574.8315,2070.531069,4512.710171,199922.4003,14853.90416
Sedgwick,0,48476.52483,47337.369,305764.3881,8368.464916,1008.935058,8577.65849,12104.78887,154710.9122,131190.0441,1565.677041,33575.59376
Summit,476870.3779,114826.3529,2610.169859,764117.8556,27716.2673,581751.518,200582.5019,87015.43318,84217.87001,268261.3441,8006.138452,11592.50834
Teller,24236.13457,16592.53484,5009.357827,724333.7044,12714.19243,51373.84217,560875.4047,167281.5841,76702.70651,368667.3129,2327974.845,61623.39145
Washington,0,121202.4453,51024.69251,114734.0928,13792.05171,5007.233857,14700.12011,322982.8322,102244.0127,184099.3597,362.9275699,10725.21706
Weld,0,1958081.161,320732.4112,1025615.137,49893.37426,2422.136466,330366.176,9692090.828,341155.441,8532727.757,63417.16838,94729.58216
Yuma,0,1398898.238,341579.0604,1609238.997,33171.09007,23067.23601,31357.31289,65126.7903,459460.6981,678396.3268,2905.789267,79532.39625
